form1[0].#subform[0].AttorneyStateBarNumber[0], PDFTextField
form1[0].#subform[13].Pt8Line68d_Column4Row3[0], PDFTextField
form1[0].#subform[13].Pt8Line68d_Column4Row4[0], PDFTextField
form1[0].#subform[13].Pt1Line10_AlienNumber[14], PDFTextField
form1[0].#subform[14].Pt8Line69a_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line69a_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line70_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line70_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line71_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line71_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line72_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line72_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line73_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line73_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line74_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line74_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line75_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line75_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line76_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line76_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line77_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line77_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line79a_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line79a_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line79b_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line79b_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line80_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line81_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line82_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line82_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line83_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line83_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line80_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line81_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line84_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt8Line84_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line85a_YesNo[1], PDFCheckBox
form1[0].#subform[14].Pt8Line85a_YesNo[0], PDFCheckBox
form1[0].#subform[14].Pt1Line10_AlienNumber[15], PDFTextField
form1[0].#subform[15].Pt8Line85b_YesNo[1], PDFCheckBox
form1[0].#subform[15].Pt8Line85b_YesNo[0], PDFCheckBox
form1[0].#subform[15].Pt8Line85c_YesNo[1], PDFCheckBox
form1[0].#subform[15].Pt8Line85c_YesNo[0], PDFCheckBox
form1[0].#subform[15].Pt8Line86a_YesNo[1], PDFCheckBox
form1[0].#subform[15].Pt8Line86a_YesNo[0], PDFCheckBox
form1[0].#subform[15].Pt8Line86b_Nationality[0], PDFTextField
form1[0].#subform[15].Pt10Line3_DaytimePhone[0], PDFTextField
form1[0].#subform[15].Pt10Line4_MobilePhone[0], PDFTextField
form1[0].#subform[15].Pt10Line5_Email[0], PDFTextField
form1[0].#subform[15].Pt1Line10_AlienNumber[16], PDFTextField
form1[0].#subform[16].Pt5Line6a_Signature[0], PDFTextField
form1[0].#subform[16].Pt10Line6b_Date[0], PDFTextField
form1[0].#subform[16].Pt11Line1a_FamilyName[0], PDFTextField
form1[0].#subform[16].Pt11Line1b_GivenName[0], PDFTextField
form1[0].#subform[16].Pt11Line2_OrgName[0], PDFTextField
form1[0].#subform[16].Pt11Line4_DayPhone[0], PDFTextField
form1[0].#subform[16].Pt11Line5_MobilePhone[0], PDFTextField
form1[0].#subform[16].Pt11Line6_Email[0], PDFTextField
form1[0].#subform[16].Pt1Line10_AlienNumber[17], PDFTextField
form1[0].#subform[17].Part11_NameofLanguage[0], PDFTextField
form1[0].#subform[17].Pt5Line6a_Signature[1], PDFTextField
form1[0].#subform[17].Pt11Line7b_DateofSignature[0], PDFTextField
form1[0].#subform[17].Pt12Line1a_PreparerFamilyName[0], PDFTextField
form1[0].#subform[17].Pt12Line1b_PreparerGivenName[0], PDFTextField
form1[0].#subform[17].Pt12Line2_BusinessName[0], PDFTextField
form1[0].#subform[17].Pt12Line4_DaytimePhoneNumber1[0], PDFTextField
form1[0].#subform[17].Pt12Line5_MobileNumber[0], PDFTextField
form1[0].#subform[17].Pt12Line6_Email[0], PDFTextField
form1[0].#subform[17].Pt1Line10_AlienNumber[18], PDFTextField
form1[0].#subform[18].Pt12Line8a_Signature[0], PDFTextField
form1[0].#subform[18].Pt12Line8b_DateofSignature[0], PDFTextField
form1[0].#subform[18].Pt13_Corrections1[0], PDFTextField
form1[0].#subform[18].Pt13_Corrections2[0], PDFTextField
form1[0].#subform[18].Pt13_Pages1[0], PDFTextField
form1[0].#subform[18].Pt13_Pages2[0], PDFTextField
form1[0].#subform[18].Pt13_USCISOfficer[0], PDFTextField
form1[0].#subform[18].Pt13_DateofSignature[0], PDFTextField
form1[0].#subform[18].Pt13_ApplicantSignature[0], PDFTextField
form1[0].#subform[18].Pt13_USCISSignature[0], PDFTextField
form1[0].#subform[18].Pt1Line10_AlienNumber[19], PDFTextField
form1[0].#subform[19].Pt1Line1a_FamilyName[1], PDFTextField
form1[0].#subform[19].Pt1Line1b_GivenName[1], PDFTextField
form1[0].#subform[19].Pt1Line1c_MiddleName[1], PDFTextField
form1[0].#subform[19].Pt14Line3a_PageNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line3b_PartNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line3c_ItemNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line3d_AdditionalInfo[0], PDFTextField
form1[0].#subform[19].Pt14Line4a_PageNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line4b_PartNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line4c_ItemNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line4d_AdditionalInfo[0], PDFTextField
form1[0].#subform[19].Pt14Line5a_PageNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line5b_PartNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line5c_ItemNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line5d_AdditionalInfo[0], PDFTextField
form1[0].#subform[19].Pt14Line6a_PageNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line6b_PartNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line6c_ItemNumber[0], PDFTextField
form1[0].#subform[19].Pt14Line6d_AdditionalInfo[0], PDFTextField
form1[0].#subform[19].Pt1Line10_AlienNumber[21], PDFTextField
